ID,Address,AssessedValue
002 014 445,138    EAST BORDER RD  ,"702,700"
002 014 447,699    HIGHLAND AV  ,"1,049,200"
002 015 532,150    EAST BORDER RD  ,"600,000"
002 015 533,146    EAST BORDER RD  ,"555,500"
002 015 534,144    EAST BORDER RD  ,"578,200"
002 015 535,140    EAST BORDER RD  ,"680,000"
002 015 536,88    MCCORMACK ST  ,"681,000"
002 015 537,78    MCCORMACK ST  ,"715,300"
002 015 538,71    HAYWARD ST  ,"722,100"
002 015 539,74    MCCORMACK ST  ,"687,800"
002 015 540,     HAYWARD ST  ,"351,300"
002 015 541,68    MCCORMACK ST  ,"917,700"
002 015 542,56    MCCORMACK ST  ,"838,600"
002 015 543,44    MCCORMACK ST  ,"504,100"
002 015 544,40    MCCORMACK ST  ,"684,200"
002 015 549,28    MCCORMACK ST  ,"654,200"
002 015 550,14    MCCORMACK ST  ,"826,200"
002 015 561,52    MCCORMACK ST  ,"794,400"
002 023 301,541    FELLSWAY EAST  ,"705,000"
002 023 302,547    FELLSWAY EAST  ,"798,400"
002 023 303,553    FELLSWAY EAST  ,"777,400"
002 023 304,563    FELLSWAY EAST  ,"763,500"
002 023 305,569    FELLSWAY EAST  ,"772,600"
002 023 306,575    FELLSWAY EAST  ,"832,700"
002 023 307,581    FELLSWAY EAST  ,"1,039,200"
002 023 308,124    EAST BORDER RD  ,"663,700"
002 023 309,37    SEERY ST  ,"618,500"
002 023 310,559    FELLSWAY EAST  ,"705,800"
003 024 401,481    FELLSWAY EAST  ,"1,320,700"
003 024 402,497    FELLSWAY EAST  ,"763,200"
003 024 403,503    FELLSWAY EAST  ,"842,400"
003 024 404,509    FELLSWAY EAST  ,"1,093,000"
003 024 405,517    FELLSWAY EAST  ,"662,700"
003 024 406,521    FELLSWAY EAST  ,"749,900"
003 024 407,525    FELLSWAY EAST  ,"825,100"
003 024 408,533    FELLSWAY EAST  ,"705,600"
003 024 409,260    HAWTHORNE ST  ,"664,200"
003 024 410,254    HAWTHORNE ST  ,"768,800"
003 024 411,248    HAWTHORNE ST  ,"710,700"
003 024 412,244    HAWTHORNE ST  ,"700,900"
003 024 413,240    HAWTHORNE ST  ,"792,800"
003 024 414,236    HAWTHORNE ST  ,"715,200"
003 024 415,232    HAWTHORNE ST  ,"717,200"
003 024 416,228    HAWTHORNE ST  ,"715,800"
003 024 417,224    HAWTHORNE ST  ,"719,800"
003 024 418,220    HAWTHORNE ST  ,"854,300"
003 024 419,214    HAWTHORNE ST  ,"760,900"
003 024 420,210    HAWTHORNE ST  ,"993,900"
003 024 422,200    HAWTHORNE ST  ,"691,500"
003 024 423,209    GLENWOOD ST  ,"820,500"
003 024 424,211    GLENWOOD ST  ,"639,000"
003 024 425,225    GLENWOOD ST  ,"719,400"
003 024 426,229    GLENWOOD ST  ,"767,800"
003 024 427,233    GLENWOOD ST  ,"683,100"
003 024 428,237    GLENWOOD ST  ,"673,700"
003 024 429,241    GLENWOOD ST  ,"691,400"
003 024 430,447 449  FELLSWAY EAST  ,"1,412,400"
003 024 431,463 465  FELLSWAY EAST  ,"1,051,800"
003 024 432,473 475  FELLSWAY EAST  ,"1,032,400"
003 024 433,487    FELLSWAY EAST  ,"1,167,200"
004 022 201,197    GLENWOOD ST  ,"1,152,700"
004 022 202,203    HAWTHORNE ST  ,"735,500"
004 022 203,207    HAWTHORNE ST  ,"763,000"
004 022 204,211    HAWTHORNE ST  ,"810,900"
004 022 205,217    HAWTHORNE ST  ,"733400"
004 022 206,221    HAWTHORNE ST  ,"727,200"
004 022 207,225    HAWTHORNE ST  ,"749,300"
004 022 208,229    HAWTHORNE ST  ,"730,300"
004 022 209,239    HAWTHORNE ST  ,"853,700"
004 022 210,243    HAWTHORNE ST  ,"676,500"
004 022 211,245    HAWTHORNE ST  ,"669,300"
004 022 212,     HAWTHORNE ST  ,"32,800"
004 022 213,253    HAWTHORNE ST  ,"679,200"
004 022 214,257    HAWTHORNE ST  ,"848,900"
004 022 215,267    HAWTHORNE ST  ,"822,400"
004 022 216,3    OAKDALE RD  ,"683,900"
004 022 217,7    OAKDALE RD  ,"675,100"
004 022 218,11    OAKDALE RD  ,"668,900"
004 022 219,45    SEERY ST  ,"841,300"
004 022 220,47    SEERY ST  ,"644,600"
004 022 221,59    SEERY ST  ,"592,000"
004 022 222,     SEERY ST  ,"370,800"
004 022 224,48    SEERY ST  ,"822,800"
004 022 225,26    SEERY ST  ,"652,700"
004 022 226,22    SEERY ST  ,"585,100"
004 022 227,18    SEERY ST  ,"670,900"
004 022 228,12    SEERY ST  ,"621,800"
004 022 229,118    EAST BORDER RD  ,"782,500"
004 022 230,114    EAST BORDER RD  ,"648,000"
004 022 231,106    EAST BORDER RD  ,"832,200"
004 022 232,100    EAST BORDER RD  ,"748,700"
004 022 233,98    EAST BORDER RD  ,"869,200"
004 022 234,90    EAST BORDER RD  ,"815,800"
004 022 235,74    EAST BORDER RD  ,"827,200"
004 022 236,     WOODLAND RD  ,"30,800"
004 022 237,     COREY RD  ,"29,300"
004 022 238,11    COREY RD  ,"905,900"
004 022 239,17    COREY RD  ,"888,400"
004 022 240,29    COREY RD  ,"928,800"
004 022 241,51    COREY RD  ,"830,800"
004 022 242,63    COREY RD  ,"813,000"
004 022 243,54    COREY RD  ,"910,400"
004 022 244,48    COREY RD  ,"814,400"
004 022 245,30    COREY RD  ,"896,100"
004 022 246,24    COREY RD  ,"792,500"
004 022 247,16    COREY RD  ,"812,100"
004 022 248,108    WOODLAND RD  ,"792,500"
004 022 249,104    WOODLAND RD  ,"737,100"
004 022 250,100    WOODLAND RD  ,"704,500"
004 022 251,94    WOODLAND RD  ,"631,700"
004 022 252,90    WOODLAND RD  ,"698,600"
004 022 253,76    WOODLAND RD  ,"598,000"
004 022 254,12    MILLEN CR  ,"692,900"
004 022 255,8    MILLEN CR  ,"753,200"
004 022 256,4    MILLEN CR  ,"700,500"
004 022 257,64    WOODLAND RD  ,"838,400"
004 022 258,189    GLENWOOD ST  ,"1,094,600"
004 022 259,193    GLENWOOD ST  ,"745,200"
004 022 260,82    WOODLAND RD  ,"711,400"
004 022 261,60    WOODLAND RD  ,"797,000"
005 021 101,181    GLENWOOD ST  ,"908,800"
005 021 102,59    WOODLAND RD  ,"723,800"
005 021 103,71    WOODLAND RD  ,"640,700"
005 021 104,75    WOODLAND RD  ,"837,600"
005 021 105,79    WOODLAND RD  ,"657,200"
005 021 106,81    WOODLAND RD  ,"676,500"
005 021 107,85    WOODLAND RD  ,"609,200"
005 021 108,95    WOODLAND RD  ,"664,600"
005 021 109,99    WOODLAND RD  ,"598,300"
005 021 110,103    WOODLAND RD  ,"689,600"
005 021 111,113    WOODLAND RD  ,"696,500"
005 021 112,137    WOODLAND RD  ,"876,400"
005 021 113,136    GLEN ST  ,"919,000"
005 021 114,62    EAST BORDER RD  ,"742,700"
005 021 115,58    EAST BORDER RD  ,"674,500"
005 021 116,52 54  EAST BORDER RD  ,"847,500"
005 021 117,50    EAST BORDER RD  ,"701,600"
005 021 118,44    EAST BORDER RD  ,"613,600"
005 021 119,40    EAST BORDER RD  ,"632,600"
005 021 120,     WOODLAND RD  ,"53,200"
005 021 121,     WOODLAND RD  ,"40,800"
005 021 131,     GLEN ST  ,"216,400"
005 021 132,142    GLEN ST  ,"1,002,600"
005 021 133,126    GLEN ST  ,"783,000"
005 021 134,120    GLEN ST  ,"1,069,400"
005 021 135,     GLEN ST  ,"350,500"
005 021 136,104    GLEN ST  ,"914,300"
005 021 137,94    GLEN ST  ,"727,500"
005 021 139 101,145    GLENWOOD ST 101,"294,700"
005 021 139 102,145    GLENWOOD ST 102,"489,700"
005 021 139 103,145    GLENWOOD ST 103,"520,000"
005 021 139 104,145    GLENWOOD ST 104,"415,800"
005 021 139 105,145    GLENWOOD ST 105,"274,700"
005 021 139 106,145    GLENWOOD ST 106,"362,400"
005 021 139 201,145    GLENWOOD ST 201,"538,300"
005 021 139 202,145    GLENWOOD ST 202,"573,700"
005 021 139 204,145    GLENWOOD ST 204,"551,100"
005 021 139 205,145    GLENWOOD ST 205,"609,800"
005 021 139 206,145    GLENWOOD ST 206,"566,600"
005 021 139 207,145    GLENWOOD ST 207,"572,700"
005 021 139 208,145    GLENWOOD ST 208,"581,500"
005 021 139 301,145    GLENWOOD ST 301,"539,300"
005 021 139 302,145    GLENWOOD ST 302,"604,600"
005 021 139 303,145    GLENWOOD ST 303,"541,200"
005 021 139 304,145    GLENWOOD ST 304,"591,100"
005 021 139 305,145    GLENWOOD ST 305,"455,000"
005 021 139 306,145    GLENWOOD ST 306,"451,200"
005 021 139 307,145    GLENWOOD ST 307,"454,100"
005 021 139 308,145    GLENWOOD ST 308,"601,900"
005 021 139 401,145    GLENWOOD ST 401,"540,500"
005 021 139 402,145    GLENWOOD ST 402,"600,300"
005 021 139 403,145    GLENWOOD ST 403,"536,600"
005 021 139 404,145    GLENWOOD ST 404,"615,600"
005 021 139 405,145    GLENWOOD ST 405,"451,600"
005 021 139 406,145    GLENWOOD ST 406,"454,400"
005 021 139 407,145    GLENWOOD ST 407,"499,800"
005 021 139 408,145    GLENWOOD ST 408,"642,600"
005 021 141,155    GLENWOOD ST  ,"585,400"
005 021 142,161 163  GLENWOOD ST  ,"1,108,500"
005 021 143,167    GLENWOOD ST  ,"706,500"
005 021 144,171    GLENWOOD ST  ,"903,700"
005 021 145,179    GLENWOOD ST  ,"753,100"
005 021 147,130    GLEN ST  ,"1,002,100"
005 021 150,127    WOODLAND RD  ,"810,600"
005 021 151,131    WOODLAND RD  ,"809,100"
006 020 001,356    SUMMER STREET EX  ,"799,500"
006 020 002,61    EAST BORDER RD  ,"865,300"
006 020 003A,     EAST BORDER RD  ,"1,416,900"
006 020 003B,     SUMMER STREET EX  ,"1,429,100"
006 020 003C,     EAST BORDER RD  ,"1,371,400"
006 020 003D,0    EAST BORDER RD  ,"669,800"
006 020 004,35    EAST BORDER RD  ,"1,166,400"
006 020 005,370 372  SUMMER STREET EX  ,"1,010,800"
006 020 006,376    SUMMER STREET EX  ,"807,400"
006 020 007,101    GLEN ROCK AV  ,"698,500"
006 020 008,97    GLEN ROCK AV  ,"717,500"
006 020 009,93    GLEN ROCK AV  ,"646,800"
006 020 016,111    GLEN ROCK AV  ,"1,154,400"
006 020 017,377 379  SUMMER STREET EX  ,"975,600"
006 020 020,339    SUMMER ST  ,"683,500"
006 020 021,343    SUMMER STREET EX  ,"664,600"
006 020 022,     SUMMER STREET EX  ,"574,800"
006 020 023,     SUMMER ST  ,"142,700"
006 020 024,348    SUMMER ST  ,"1,023,400"
006 020 025,     SUMMER ST  ,"153,600"
006 020 026,344    SUMMER STREET EX  ,"811,300"
006 020 027,338    SUMMER ST  ,"930,600"
006 020 028,320    SUMMER ST  ,"884,100"
006 020 029,316    SUMMER ST  ,"1,056,100"
006 020 030,306    SUMMER ST  ,"664,800"
006 020 031,11    EAST BORDER RD  ,"540,200"
006 020 032,     EAST BORDER RD  ,"14,400"
006 020 033,21    EAST BORDER ROAD EX  ,"712,400"
006 020 035,37    EAST BORDER ROAD EX  ,"794,100"
006 020 036,     EAST BORDER RD  ,"164,900"
006 020 037,33    EAST BORDER ROAD EX  ,"793,000"
006 020 038,29    EAST BORDER RD  ,"709,200"
006 020 039,43    EAST BORDER RD  ,"851,300"
006 020 040,41    EAST BORDER RD  ,"778,100"
006 020 041,     EAST BORDER RD  ,"29,700"
006 020 042,47    EAST BORDER RD  ,"783,300"
006 020 043,57    EAST BORDER RD  ,"1,153,300"
006 020 044,359    SUMMER STREET EX  ,"1,036,400"
006 020 045,373 375  SUMMER STREET EX  ,"855,300"
006 020 046,365 367  SUMMER STREET EX  ,"852,900"
007 061 100,35    GLEN ROCK AV  ,"737,100"
007 061 101,69    GLEN ROCK AV  ,"673,800"
007 061 102,15 17  ELLIETT ST  ,"827,300"
007 061 103,19    ELLIETT ST  ,"613,900"
007 061 104,21    ELLIETT ST  ,"553,600"
007 061 105,     ELLIETT ST  ,"28,900"
007 061 106,     GLEN ROCK AV  ,"522,500"
007 061 107,     WASHINGTON ST  ,"450,000"
007 061 108,376    WASHINGTON ST  ,"2,205,900"
007 061 110,41    GLEN ROCK RD  ,"704,000"
007 061 111,25    GLEN ROCK AV  ,"673,300"
007 061 112B,19    GLEN ROCK AV  ,"664,900"
007 061 113,366    WASHINGTON ST  ,"713,400"
007 061 114,360 362  WASHINGTON ST  ,"984,700"
007 061 115,9    GLEN ROCK AV  ,"643,200"
007 061 116,29    GLEN ROCK AV  ,"760,500"
007 061 117,39    GLEN ROCK AV  ,"529,500"
007 061 118,49    GLEN ROCK AV  ,"820,200"
007 061 119,55    GLEN ROCK AV  ,"690,800"
007 061 120,59    GLEN ROCK AV  ,"491,400"
007 061 121,65    GLEN ROCK AV  ,"651,000"
007 061 122,364    WASHINGTON ST  ,"641,500"
007 062 201,349    WASHINGTON ST  ,"1,863,400"
007 062 202,359    WASHINGTON ST  ,"985,300"
007 062 203,373 375  WASHINGTON ST  ,"2,430,700"
007 063 311,134 136  WYOMING AV  ,"772,500"
007 063 312,55    DUTTON ST  ,"869,100"
007 064 401,127 129  WYOMING AV  ,"913,000"
007 064 402,135    WYOMING AV  ,"612,000"
007 064 403,30    GLEN ROCK AV  ,"661,500"
007 064 404,22    GLEN ROCK AV  ,"731,700"
007 064 405,18    GLEN ROCK AV  ,"629,300"
007 064 406,12    GLEN ROCK AV  ,"645,700"
007 064 407,350    WASHINGTON ST  ,"691,500"
007 064 408,344    WASHINGTON ST  ,"514,000"
007 064 409,340    WASHINGTON ST  ,"682,600"
007 064 410,15    DUTTON ST  ,"593,900"
007 064 411,19    DUTTON ST  ,"638,800"
007 064 412,29    DUTTON ST  ,"640,100"
007 065 501,165    BELTRAN ST  ,"654,300"
007 065 502A,114    WYOMING AV  ,"827,700"
007 065 503,76    DUTTON ST  ,"523,400"
007 065 504,66    DUTTON ST  ,"915,900"
007 065 505 58,58    DUTTON ST 58,"654,400"
007 065 505 60,60    DUTTON ST 60,"591,500"
007 065 506,104    WYOMING AV  ,"1,108,400"
007 065 507,51    LYLE ST  ,"579,400"
007 065 508,173    BELTRAN ST  ,"842,000"
007 065 509,175 177  BELTRAN ST  ,"1,031,900"
007 065 510,118    WYOMING AV  ,"671,500"
007 065 511,110    WYOMING AV  ,"617,900"
007 065 512,122    WYOMING AV  ,"688,100"
007 066 601,121    WYOMING AV  ,"1,242,900"
007 066 602,28    DUTTON ST  ,"881,400"
007 066 603,33    LYLE TR  ,"776,600"
007 066 604,27    LYLE TR  ,"508,200"
007 066 605,12    DUTTON ST  ,"610,500"
007 066 606,334    WASHINGTON ST  ,"543,900"
007 066 607,330    WASHINGTON ST  ,"503,900"
007 066 608,17 19  LYLE TR  ,"819,600"
007 066 609,320 322  WASHINGTON ST  ,"655,700"
007 066 610,11    LYLE TR  ,"629,200"
007 066 611,9    LYLE TR  ,"663,200"
007 066 612,316 318  WASHINGTON ST  ,"987,000"
007 066 613,312 314  WASHINGTON ST  ,"777,300"
007 066 614,7    LYLE ST  ,"727,900"
007 066 615,326    WASHINGTON ST  ,"668,000"
007 067 701,103    WYOMING AV  ,"995,200"
007 067 702,105    WYOMING AV  ,"721,300"
007 067 703,113 115  WYOMING AV  ,"931,800"
007 067 704,36 38  LYLE TR  ,"956,600"
007 067 705,32    LYLE TR  ,"581,700"
007 067 706,14 16  LYLE TR  ,"1,018,400"
007 067 707,15    LYLE ST  ,"894,100"
007 067 708,21    LYLE ST  ,"863,600"
007 067 709,25    LYLE ST  ,"616,300"
007 068 801,147    BELTRAN ST  ,"602,400"
007 068 802,151    BELTRAN ST  ,"657,600"
007 068 803,58    LYLE ST  ,"951,900"
007 068 804,52    LYLE ST  ,"856,900"
007 068 805,48    LYLE ST  ,"755,700"
007 068 806,94 96  WYOMING AV  ,"1,020,200"
007 068 807,88    WYOMING AV  ,"890,500"
007 068 808,86    WYOMING AV  ,"925,200"
007 068 809,11    PAYNE TR  ,"847,700"
007 068 810,19    PAYNE TR  ,"647,700"
007 070 015,304    WASHINGTON ST  ,"706,000"
007 070 016,5    PEARSON TR  ,"884,300"
007 070 032,91    WYOMING AV  ,"685,200"
007 070 033,95    WYOMING AV  ,"741,100"
007 070 034,22 24  LYLE ST  ,"783,900"
007 070 035,18    LYLE ST  ,"605,300"
007 070 036,14    LYLE ST  ,"622,900"
007 070 037,8    LYLE ST  ,"695,200"
007 070 038,306    WASHINGTON ST  ,"947,400"
008 020 001,     ELLIETT ST  ,"353,400"
008 020 010 1,20    ELLIETT ST 1,"631,700"
008 020 010 2,18    ELLIETT ST 2,"657,500"
008 020 011,14    ELLIETT ST  ,"544,900"
008 020 012,10    ELLIETT ST  ,"705,800"
008 020 013,77    GLEN ROCK AV  ,"608,900"
008 020 014,83    GLEN ROCK AV  ,"600,200"
008 020 015,89    GLEN ROCK AV  ,"560,900"
008 057 701,49    LAS CASAS ST  ,"1,496,800"
008 057 702,57    LAS CASAS ST  ,"1,047,400"
008 057 703,11    UPLAND RD  ,"628,100"
008 057 704,17    UPLAND RD  ,"568,400"
008 057 705,25    UPLAND RD  ,"888,400"
008 057 706,27    UPLAND RD  ,"877,000"
008 057 707,33    UPLAND RD  ,"725,300"
008 057 708,37    UPLAND RD  ,"663,300"
008 057 709,96    DUTTON ST  ,"723,200"
008 057 710,90    DUTTON ST  ,"607,500"
008 057 711,182    BELTRAN ST  ,"976,900"
008 057 712,174    BELTRAN ST  ,"747,600"
008 057 713,168    BELTRAN ST  ,"682,300"
008 057 714,166    BELTRAN ST  ,"575,000"
008 057 715,64    LYLE ST  ,"822,900"
008 057 716,152    BELTRAN ST  ,"689,400"
008 057 717,148    BELTRAN ST  ,"628,600"
008 057 718,11    BELTRAN TR  ,"595,100"
008 057 719,17    BELTRAN TR  ,"838,200"
008 057 720,21    BELTRAN TR  ,"657,400"
008 057 721,20    BELTRAN TR  ,"638,700"
008 057 722,140    BELTRAN ST  ,"669,000"
008 057 723,138    BELTRAN ST  ,"642,600"
008 057 724,1    GREYSTONE RD  ,"913,000"
008 057 725,5    GREYSTONE RD  ,"903,000"
008 057 726,12    BELTRAN TR  ,"742,500"
008 057 727,61    LAS CASAS ST  ,"914,300"
008 057 728,     BELTRAN ST  ,"329,200"
008 059 901,321    SUMMER ST  ,"979,300"
008 059 902,325    SUMMER ST  ,"622,000"
008 059 903,327    SUMMER ST  ,"787,800"
008 059 904,38    UPLAND RD  ,"867,100"
008 059 905,43    UPLAND RD  ,"863,300"
008 059 906,     GLEN ROCK AV  ,"76,800"
008 059 907,     DUTTON ST  ,"61,300"
008 059 908,115    DUTTON ST  ,"707,800"
008 059 909,108    GLEN ROCK AV  ,"678,300"
008 059 910,104    GLEN ROCK AV  ,"653,200"
008 059 911,98    GLEN ROCK AV  ,"616,300"
008 059 912,88    GLEN ROCK AV  ,"727,900"
008 059 913A,200    BELTRAN ST  ,"752,200"
008 059 914,89    DUTTON ST  ,"694,500"
008 059 915,99    DUTTON ST  ,"621,100"
008 059 916,105    DUTTON ST  ,"554,500"
008 059 917,36    UPLAND RD  ,"706,000"
008 059 918,26    UPLAND RD  ,"810,400"
008 059 919,3    SUMMER AV  ,"749,200"
008 059 920,9 11  SUMMER AV  ,"899,600"
008 059 921,34    UPLAND RD  ,"575,600"
008 059 922,118    GLEN ROCK AV  ,"738,600"
008 060 001,     GLEN ROCK AV  ,"58,700"
008 063 301,191    BELTRAN ST  ,"727,500"
008 063 302,195    BELTRAN ST  ,"327,500"
008 063 303,78    GLEN ROCK AV  ,"822,600"
008 063 304,72    GLEN ROCK AV  ,"696,400"
008 063 305,66    GLEN ROCK AV  ,"499,600"
008 063 306,60    GLEN ROCK AV  ,"601,800"
008 063 307,56    GLEN ROCK AV  ,"806,400"
008 063 309,142    WYOMING AV  ,"612,800"
008 063 310,138    WYOMING AV  ,"565,300"
008 063 312,59    DUTTON ST  ,"645,600"
008 063 313,65    DUTTON ST  ,"632,800"
008 063 314,69    DUTTON ST  ,"561,600"
008 063 315,48    GLEN ROCK AV  ,"857,000"
009 021 120,     EAST BORDER RD  ,"29,200"
009 021 121,36    EAST BORDER RD  ,"765,200"
009 021 122,     EAST BORDER RD  ,"30,500"
009 021 123,34    EAST BORDER RD  ,"814,200"
009 021 124,24    EAST BORDER RD  ,"772,900"
009 021 125,     SUMMER ST  ,"62,300"
