PID,ADDRESS,CV
001 017 701,27 MAURICE ST,636100
001 017 702,16 VICTOR ST,541100
001 017 703,12 VICTOR ST,551300
001 017 704,46 BLOMERTH ST,551800
001 017 705,42 BLOMERTH ST,583500
001 017 706,5 MAURICE ST,646900
001 017 707,13 MAURICE ST,542000
001 017 708,15 MAURICE ST,598500
001 018 801,29 VICTOR ST,381900
001 018 802,24 GRIMSHAW ST,725100
001 018 803,26 GRIMSHAW ST,46100
001 018 805,8 GRIMSHAW ST,612900
001 019 901A,13 CLARENCE TR,753900
001 019 903,11 CLARENCE TR,725200
001 019 904,9 CLARENCE TR,640500
001 019 906,34 GRIMSHAW ST,491000
001 019 907,42 GRIMSHAW ST,815100
001 019 908,48 GRIMSHAW ST,754300
001 019 909,52 GRIMSHAW ST,660500
001 019 910,56 GRIMSHAW ST,630500
001 019 911,EAST BORDER RD,11600
001 019 912,228 EAST BORDER RD,653100
001 019 913,220 EAST BORDER RD,842700
001 019 914,204 EAST BORDER RD,842800
001 019 915,51 GRIMSHAW ST,653500
001 019 916,4 CLARENCE TR,709200
001 019 917,53 REAR GRIMSHAW ST,873100
001 019 918,8 CLARENCE TR,529000
001 019 920,90 92 BLOMERTH ST,866400
001 019 921,96 BLOMERTH ST,544400
001 019 922,12 CLARENCE TR,749200
001 019 923,82 BLOMERTH ST,678400
001 019 924,80 BLOMERTH ST,616600
001 019 925,76 BLOMERTH ST,566300
001 019 926,72 BLOMERTH ST,652500
001 019 927,68 BLOMERTH ST,561200
001 019 928,64 BLOMERTH ST,704700
001 019 929,58 BLOMERTH ST,552200
001 019 930,48 BLOMERTH ST,577500
001 019 931,11 VICTOR ST,668300
001 019 932,15 VICTOR ST,759000
001 019 934,212 EAST BORDER RD,932100
001 019 935,210 EAST BORDER RD,742800
001 019 936,196 198 EAST BORDER RD,1246300
002 014 401,705 HIGHLAND AVE,657600
002 014 402,9 MCCORMACK ST,701300
002 014 403,15 MCCORMACK ST,951500
002 014 404,23 MCCORMACK ST,730300
002 014 405,29 MCCORMACK ST,737900
002 014 406,35 MCCORMACK ST,537600
002 014 407,39 MCCORMACK ST,549900
002 014 408,43 45 MCCORMACK ST,982000
002 014 409,51 MCCORMACK ST,699300
002 014 411,RAYMOND ST,31300
002 014 412,2 RAYMOND ST,676200
002 014 414,570 FELLSWAY EAST,853100
002 014 415,566 FELLSWAY EAST,609200
002 014 416,560 FELLSWAY EAST,678000
002 014 417,556 FELLSWAY EAST,774600
002 014 418,550 FELLSWAY EAST,809800
002 014 419,546 FELLSWAY EAST,783000
002 014 420,540 FELLSWAY EAST,776500
002 014 421,534 FELLSWAY EAST,810900
002 014 422,526 FELLSWAY EAST,752600
002 014 423,520 FELLSWAY EAST,741000
002 014 424,518 FELLSWAY EAST,875900
002 014 425,510 FELLSWAY EAST,799900
002 014 426,504 FELLSWAY EAST,672800
002 014 427,498 FELLSWAY EAST,630900
002 014 428,492 FELLSWAY EAST,526800
002 014 429,486 FELLSWAY EAST,592900
002 014 430,478 FELLSWAY EAST,653100
002 014 431,466 FELLSWAY EAST,661500
002 014 432,33 CIRCLE RD,524000
002 014 433,45 CIRCLE RD,762100
002 014 434,46 CIRCLE RD,524700
002 014 435,47 CIRCLE RD,955800
002 014 436,24 CIRCLE RD,518500
002 014 437,18 CIRCLE RD,852100
002 014 438,679 HIGHLAND AVE,856900
002 014 439,675 HIGHLAND AVE,651200
002 014 440,683 HIGHLAND AVE,664000
002 014 442A,689 693 HIGHLAND AVE,761100
002 014 443,695 HIGHLAND AVE,559300
002 014 444,83 MCCORMACK ST,916700
002 014 445,138 EAST BORDER RD,702700
002 014 447,699 HIGHLAND AVE,1049200
002 015 532,150 EAST BORDER RD,600000
002 015 533,146 EAST BORDER RD,555500
002 015 534,144 EAST BORDER RD,578200
002 015 535,140 EAST BORDER RD,680000
002 015 536,88 MCCORMACK ST,681000
002 015 537,78 MCCORMACK ST,715300
002 015 538,71 HAYWARD ST,722100
002 015 539,74 MCCORMACK ST,687800
002 015 540,HAYWARD ST,351300
002 015 541,68 MCCORMACK ST,917700
002 015 542,56 MCCORMACK ST,838600
002 015 543,44 MCCORMACK ST,504100
002 015 544,40 MCCORMACK ST,684200
002 015 549,28 MCCORMACK ST,654200
002 015 550,14 MCCORMACK ST,826200
002 015 561,52 MCCORMACK ST,794400
002 023 301,541 FELLSWAY EAST,705000
002 023 302,547 FELLSWAY EAST,798400
002 023 303,553 FELLSWAY EAST,777400
002 023 304,563 FELLSWAY EAST,763500
002 023 305,569 FELLSWAY EAST,772600
002 023 306,575 FELLSWAY EAST,832700
002 023 307,581 FELLSWAY EAST,1039200
002 023 308,124 EAST BORDER RD,663700
002 023 309,37 SEERY ST,618500
002 023 310,559 FELLSWAY EAST,705800
003 024 401,481 FELLSWAY EAST,1320700
003 024 402,497 FELLSWAY EAST,763200
003 024 403,503 FELLSWAY EAST,842400
003 024 404,509 FELLSWAY EAST,1093000
003 024 405,517 FELLSWAY EAST,662700
003 024 406,521 FELLSWAY EAST,749900
003 024 407,525 FELLSWAY EAST,825100
003 024 408,533 FELLSWAY EAST,705600
003 024 409,260 HAWTHORNE ST,664200
003 024 410,254 HAWTHORNE ST,768800
003 024 411,248 HAWTHORNE ST,710700
003 024 412,244 HAWTHORNE ST,700900
003 024 413,240 HAWTHORNE ST,792800
003 024 414,236 HAWTHORNE ST,715200
003 024 415,232 HAWTHORNE ST,717200
003 024 416,228 HAWTHORNE ST,715800
003 024 417,224 HAWTHORNE ST,719800
003 024 418,220 HAWTHORNE ST,854300
003 024 419,214 HAWTHORNE ST,760900
003 024 420,210 HAWTHORNE ST,993900
003 024 422,200 HAWTHORNE ST,691500
003 024 423,209 GLENWOOD ST,820500
003 024 424,211 GLENWOOD ST,639000
003 024 425,225 GLENWOOD ST,719400
003 024 426,229 GLENWOOD ST,767800
003 024 427,233 GLENWOOD ST,683100
003 024 428,237 GLENWOOD ST,673700
003 024 429,241 GLENWOOD ST,691400
003 024 430,447 449 FELLSWAY EAST,1412400
003 024 431,463 465 FELLSWAY EAST,1051800
003 024 432,473 475 FELLSWAY EAST,1032400
003 024 433,487 FELLSWAY EAST,1167200
004 022 201,197 GLENWOOD ST,1152700
004 022 202,203 HAWTHORNE ST,735500
004 022 203,207 HAWTHORNE ST,763000
004 022 204,211 HAWTHORNE ST,810900
004 022 205,217 HAWTHORNE ST,733400
004 022 206,221 HAWTHORNE ST,727200
004 022 207,225 HAWTHORNE ST,749300
004 022 208,229 HAWTHORNE ST,730300
004 022 209,239 HAWTHORNE ST,853700
004 022 210,243 HAWTHORNE ST,676500
004 022 211,245 HAWTHORNE ST,669300
004 022 212,HAWTHORNE ST,32800
004 022 213,253 HAWTHORNE ST,679200
004 022 214,257 HAWTHORNE ST,848900
004 022 215,267 HAWTHORNE ST,822400
004 022 216,3 OAKDALE RD,683900
004 022 217,7 OAKDALE RD,675100
004 022 218,11 OAKDALE RD,668900
004 022 219,45 SEERY ST,841300
004 022 220,47 SEERY ST,644600
004 022 221,59 SEERY ST,592000
004 022 222,SEERY ST,370800
004 022 224,48 SEERY ST,822800
004 022 225,26 SEERY ST,652700
004 022 226,22 SEERY ST,585100
004 022 227,18 SEERY ST,670900
004 022 228,12 SEERY ST,621800
004 022 229,118 EAST BORDER RD,782500
004 022 230,114 EAST BORDER RD,648000
004 022 231,106 EAST BORDER RD,832200
004 022 232,100 EAST BORDER RD,748700
004 022 233,98 EAST BORDER RD,869200
004 022 234,90 EAST BORDER RD,815800
004 022 235,74 EAST BORDER RD,827200
004 022 236,WOODLAND RD,30800
004 022 237,COREY RD,29300
004 022 238,11 COREY RD,905900
004 022 239,17 COREY RD,888400
004 022 240,29 COREY RD,928800
004 022 241,51 COREY RD,830800
004 022 242,63 COREY RD,813000
004 022 243,54 COREY RD,910400
004 022 244,48 COREY RD,814400
004 022 245,30 COREY RD,896100
004 022 246,24 COREY RD,792500
004 022 247,16 COREY RD,812100
004 022 248,108 WOODLAND RD,792500
004 022 249,104 WOODLAND RD,737100
004 022 250,100 WOODLAND RD,704500
004 022 251,94 WOODLAND RD,631700
004 022 252,90 WOODLAND RD,698600
004 022 253,76 WOODLAND RD,598000
004 022 254,12 MILLEN CR,692900
004 022 255,8 MILLEN CR,753200
004 022 256,4 MILLEN CR,700500
004 022 257,64 WOODLAND RD,838400
004 022 258,189 GLENWOOD ST,1094600
004 022 259,193 GLENWOOD ST,745200
004 022 260,82 WOODLAND RD,711400
004 022 261,60 WOODLAND RD,797000
005 021 101,181 GLENWOOD ST,908800
005 021 102,59 WOODLAND RD,723800
005 021 103,71 WOODLAND RD,640700
005 021 104,75 WOODLAND RD,837600
005 021 105,79 WOODLAND RD,657200
005 021 106,81 WOODLAND RD,676500
005 021 107,85 WOODLAND RD,609200
005 021 108,95 WOODLAND RD,664600
005 021 109,99 WOODLAND RD,598300
005 021 110,103 WOODLAND RD,689600
005 021 111,113 WOODLAND RD,696500
005 021 112,137 WOODLAND RD,876400
005 021 113,136 GLEN ST,919000
005 021 114,62 EAST BORDER RD,742700
005 021 115,58 EAST BORDER RD,674500
005 021 116,52 54 EAST BORDER RD,847500
005 021 117,50 EAST BORDER RD,701600
005 021 118,44 EAST BORDER RD,613600
005 021 119,40 EAST BORDER RD,632600
005 021 120,WOODLAND RD,53200
005 021 121,WOODLAND RD,40800
005 021 131,GLEN ST,216400
005 021 132,142 GLEN ST,1002600
005 021 133,126 GLEN ST,783000
005 021 134,120 GLEN ST,1069400
005 021 135,GLEN ST,350500
005 021 136,104 GLEN ST,914300
005 021 137,94 GLEN ST,727500
005 021 139 101,145 GLENWOOD ST 101,294700
005 021 139 102,145 GLENWOOD ST 102,489700
005 021 139 103,145 GLENWOOD ST 103,520000
005 021 139 104,145 GLENWOOD ST 104,415800
005 021 139 105,145 GLENWOOD ST 105,274700
005 021 139 106,145 GLENWOOD ST 106,362400
005 021 139 201,145 GLENWOOD ST 201,538300
005 021 139 202,145 GLENWOOD ST 202,573700
005 021 139 204,145 GLENWOOD ST 204,551100
005 021 139 205,145 GLENWOOD ST 205,609800
005 021 139 206,145 GLENWOOD ST 206,566600
005 021 139 207,145 GLENWOOD ST 207,572700
005 021 139 208,145 GLENWOOD ST 208,581500
005 021 139 301,145 GLENWOOD ST 301,539300
005 021 139 302,145 GLENWOOD ST 302,604600
005 021 139 303,145 GLENWOOD ST 303,541200
005 021 139 304,145 GLENWOOD ST 304,591100
005 021 139 305,145 GLENWOOD ST 305,455000
005 021 139 306,145 GLENWOOD ST 306,451200
005 021 139 307,145 GLENWOOD ST 307,454100
005 021 139 308,145 GLENWOOD ST 308,601900
005 021 139 401,145 GLENWOOD ST 401,540500
005 021 139 402,145 GLENWOOD ST 402,600300
005 021 139 403,145 GLENWOOD ST 403,536600
005 021 139 404,145 GLENWOOD ST 404,615600
005 021 139 405,145 GLENWOOD ST 405,451600
005 021 139 406,145 GLENWOOD ST 406,454400
005 021 139 407,145 GLENWOOD ST 407,499800
005 021 139 408,145 GLENWOOD ST 408,642600
005 021 141,155 GLENWOOD ST,585400
005 021 142,161 163 GLENWOOD ST,1108500
005 021 143,167 GLENWOOD ST,706500
005 021 144,171 GLENWOOD ST,903700
005 021 145,179 GLENWOOD ST,753100
005 021 147,130 GLEN ST,1002100
005 021 150,127 WOODLAND RD,810600
005 021 151,131 WOODLAND RD,809100
006 020 001,356 SUMMER STREET EX,799500
006 020 002,61 EAST BORDER RD,865300
006 020 003A,EAST BORDER RD,1416900
006 020 003B,SUMMER STREET EX,1429100
006 020 003C,EAST BORDER RD,1371400
006 020 003D,0 EAST BORDER RD,669800
006 020 004,35 EAST BORDER RD,1166400
006 020 005,370 372 SUMMER STREET EX,1010800
006 020 006,376 SUMMER STREET EX,807400
006 020 007,101 GLEN ROCK AVE,698500
006 020 008,97 GLEN ROCK AVE,717500
006 020 009,93 GLEN ROCK AVE,646800
006 020 016,111 GLEN ROCK AVE,1154400
006 020 017,377 379 SUMMER STREET EX,975600
006 020 020,339 SUMMER ST,683500
006 020 021,343 SUMMER STREET EX,664600
006 020 022,SUMMER STREET EX,574800
006 020 023,SUMMER ST,142700
006 020 024,348 SUMMER ST,1023400
006 020 025,SUMMER ST,153600
006 020 026,344 SUMMER STREET EX,811300
006 020 027,338 SUMMER ST,930600
006 020 028,320 SUMMER ST,884100
006 020 029,316 SUMMER ST,1056100
006 020 030,306 SUMMER ST,664800
006 020 031,11 EAST BORDER RD,540200
006 020 032,EAST BORDER RD,14400
006 020 033,21 EAST BORDER ROAD EX,712400
006 020 035,37 EAST BORDER ROAD EX,794100
006 020 036,EAST BORDER RD,164900
006 020 037,33 EAST BORDER ROAD EX,793000
006 020 038,29 EAST BORDER RD,709200
006 020 039,43 EAST BORDER RD,851300
006 020 040,41 EAST BORDER RD,778100
006 020 041,EAST BORDER RD,29700
006 020 042,47 EAST BORDER RD,783300
006 020 043,57 EAST BORDER RD,1153300
006 020 044,359 SUMMER STREET EX,1036400
006 020 045,373 375 SUMMER STREET EX,855300
006 020 046,365 367 SUMMER STREET EX,852900
007 061 100,35 GLEN ROCK AVE,737100
007 061 101,69 GLEN ROCK AVE,673800
007 061 102,15 17 ELLIETT ST,827300
007 061 103,19 ELLIETT ST,613900
007 061 104,21 ELLIETT ST,553600
007 061 105,ELLIETT ST,28900
007 061 106,GLEN ROCK AVE,522500
007 061 107,WASHINGTON ST,450000
007 061 108,376 WASHINGTON ST,2205900
007 061 110,41 GLEN ROCK RD,704000
007 061 111,25 GLEN ROCK AVE,673300
007 061 112B,19 GLEN ROCK AVE,664900
007 061 113,366 WASHINGTON ST,713400
007 061 114,360 362 WASHINGTON ST,984700
007 061 115,9 GLEN ROCK AVE,643200
007 061 116,29 GLEN ROCK AVE,760500
007 061 117,39 GLEN ROCK AVE,529500
007 061 118,49 GLEN ROCK AVE,820200
007 061 119,55 GLEN ROCK AVE,690800
007 061 120,59 GLEN ROCK AVE,491400
007 061 121,65 GLEN ROCK AVE,651000
007 061 122,364 WASHINGTON ST,641500
007 062 201,349 WASHINGTON ST,1863400
007 062 202,359 WASHINGTON ST,985300
007 062 203,373 375 WASHINGTON ST,2430700
007 063 311,134 136 WYOMING AVE,772500
007 063 312,55 DUTTON ST,869100
007 064 401,127 129 WYOMING AVE,913000
007 064 402,135 WYOMING AVE,612000
007 064 403,30 GLEN ROCK AVE,661500
007 064 404,22 GLEN ROCK AVE,731700
007 064 405,18 GLEN ROCK AVE,629300
007 064 406,12 GLEN ROCK AVE,645700
007 064 407,350 WASHINGTON ST,691500
007 064 408,344 WASHINGTON ST,514000
007 064 409,340 WASHINGTON ST,682600
007 064 410,15 DUTTON ST,593900
007 064 411,19 DUTTON ST,638800
007 064 412,29 DUTTON ST,640100
007 065 501,165 BELTRAN ST,654300
007 065 502A,114 WYOMING AVE,827700
007 065 503,76 DUTTON ST,523400
007 065 504,66 DUTTON ST,915900
007 065 505 58,58 DUTTON ST 58,654400
007 065 505 60,60 DUTTON ST 60,591500
007 065 506,104 WYOMING AVE,1108400
007 065 507,51 LYLE ST,579400
007 065 508,173 BELTRAN ST,842000
007 065 509,175 177 BELTRAN ST,1031900
007 065 510,118 WYOMING AVE,671500
007 065 511,110 WYOMING AVE,617900
007 065 512,122 WYOMING AVE,688100
007 066 601,121 WYOMING AVE,1242900
007 066 602,28 DUTTON ST,881400
007 066 603,33 LYLE TR,776600
007 066 604,27 LYLE TR,508200
007 066 605,12 DUTTON ST,610500
007 066 606,334 WASHINGTON ST,543900
007 066 607,330 WASHINGTON ST,503900
007 066 608,17 19 LYLE TR,819600
007 066 609,320 322 WASHINGTON ST,655700
007 066 610,11 LYLE TR,629200
007 066 611,9 LYLE TR,663200
007 066 612,316 318 WASHINGTON ST,987000
007 066 613,312 314 WASHINGTON ST,777300
007 066 614,7 LYLE ST,727900
007 066 615,326 WASHINGTON ST,668000
007 067 701,103 WYOMING AVE,995200
007 067 702,105 WYOMING AVE,721300
007 067 703,113 115 WYOMING AVE,931800
007 067 704,36 38 LYLE TR,956600
007 067 705,32 LYLE TR,581700
007 067 706,14 16 LYLE TR,1018400
007 067 707,15 LYLE ST,894100
007 067 708,21 LYLE ST,863600
007 067 709,25 LYLE ST,616300
007 068 801,147 BELTRAN ST,602400
007 068 802,151 BELTRAN ST,657600
007 068 803,58 LYLE ST,951900
007 068 804,52 LYLE ST,856900
007 068 805,48 LYLE ST,755700
007 068 806,94 96 WYOMING AVE,1020200
007 068 807,88 WYOMING AVE,890500
007 068 808,86 WYOMING AVE,925200
007 068 809,11 PAYNE TR,847700
007 068 810,19 PAYNE TR,647700
007 070 015,304 WASHINGTON ST,706000
007 070 016,5 PEARSON TR,884300
007 070 032,91 WYOMING AVE,685200
007 070 033,95 WYOMING AVE,741100
007 070 034,22 24 LYLE ST,783900
007 070 035,18 LYLE ST,605300
007 070 036,14 LYLE ST,622900
007 070 037,8 LYLE ST,695200
007 070 038,306 WASHINGTON ST,947400
008 020 001,ELLIETT ST,353400
008 020 010 1,20 ELLIETT ST 1,631700
008 020 010 2,18 ELLIETT ST 2,657500
008 020 011,14 ELLIETT ST,544900
008 020 012,10 ELLIETT ST,705800
008 020 013,77 GLEN ROCK AVE,608900
008 020 014,83 GLEN ROCK AVE,600200
008 020 015,89 GLEN ROCK AVE,560900
008 057 701,49 LAS CASAS ST,1496800
008 057 702,57 LAS CASAS ST,1047400
008 057 703,11 UPLAND RD,628100
008 057 704,17 UPLAND RD,568400
008 057 705,25 UPLAND RD,888400
008 057 706,27 UPLAND RD,877000
008 057 707,33 UPLAND RD,725300
008 057 708,37 UPLAND RD,663300
008 057 709,96 DUTTON ST,723200
008 057 710,90 DUTTON ST,607500
008 057 711,182 BELTRAN ST,976900
008 057 712,174 BELTRAN ST,747600
008 057 713,168 BELTRAN ST,682300
008 057 714,166 BELTRAN ST,575000
008 057 715,64 LYLE ST,822900
008 057 716,152 BELTRAN ST,689400
008 057 717,148 BELTRAN ST,628600
008 057 718,11 BELTRAN TR,595100
008 057 719,17 BELTRAN TR,838200
008 057 720,21 BELTRAN TR,657400
008 057 721,20 BELTRAN TR,638700
008 057 722,140 BELTRAN ST,669000
008 057 723,138 BELTRAN ST,642600
008 057 724,1 GREYSTONE RD,913000
008 057 725,5 GREYSTONE RD,903000
008 057 726,12 BELTRAN TR,742500
008 057 727,61 LAS CASAS ST,914300
008 057 728,BELTRAN ST,329200
008 059 901,321 SUMMER ST,979300
008 059 902,325 SUMMER ST,622000
008 059 903,327 SUMMER ST,787800
008 059 904,38 UPLAND RD,867100
008 059 905,43 UPLAND RD,863300
008 059 906,GLEN ROCK AVE,76800
008 059 907,DUTTON ST,61300
008 059 908,115 DUTTON ST,707800
008 059 909,108 GLEN ROCK AVE,678300
008 059 910,104 GLEN ROCK AVE,653200
008 059 911,98 GLEN ROCK AVE,616300
008 059 912,88 GLEN ROCK AVE,727900
008 059 913A,200 BELTRAN ST,752200
008 059 914,89 DUTTON ST,694500
008 059 915,99 DUTTON ST,621100
008 059 916,105 DUTTON ST,554500
008 059 917,36 UPLAND RD,706000
008 059 918,26 UPLAND RD,810400
008 059 919,3 SUMMER AVE,749200
008 059 920,9 11 SUMMER AVE,899600
008 059 921,34 UPLAND RD,575600
008 059 922,118 GLEN ROCK AVE,738600
008 060 001,GLEN ROCK AVE,58700
008 063 301,191 BELTRAN ST,727500
008 063 302,195 BELTRAN ST,327500
008 063 303,78 GLEN ROCK AVE,822600
008 063 304,72 GLEN ROCK AVE,696400
008 063 305,66 GLEN ROCK AVE,499600
008 063 306,60 GLEN ROCK AVE,601800
008 063 307,56 GLEN ROCK AVE,806400
008 063 309,142 WYOMING AVE,612800
008 063 310,138 WYOMING AVE,565300
008 063 312,59 DUTTON ST,645600
008 063 313,65 DUTTON ST,632800
008 063 314,69 DUTTON ST,561600
008 063 315,48 GLEN ROCK AVE,857000
009 021 120,EAST BORDER RD,29200
009 021 121,36 EAST BORDER RD,765200
009 021 122,EAST BORDER RD,30500
009 021 123,34 EAST BORDER RD,814200
009 021 124,24 EAST BORDER RD,772900
009 021 125,SUMMER ST,62300
009 021 126,294 SUMMER ST,635000
009 021 127,25 BARNES AVE,706000
009 021 128,31 BARNES AVE,742300
009 021 129,41 BARNES AVE,588200
009 021 130,47 BARNES AVE,502400
009 021 146,18 EAST BORDER RD,523300
009 021 148,37 BARNES AVE,685800
009 021 149,15 BARNES AVE,717400
009 025 501,121 GLENWOOD ST,1034800
009 025 502,91 GLEN ST,617700
009 025 503,93 95 GLEN ST,1105900
009 025 504,97 GLEN ST,637600
009 025 505,103 GLEN ST,710800
009 025 506,111 GLEN ST,806700
009 025 507,115 GLEN ST,815200
009 025 508,123 GLEN ST,886500
009 025 509,133 GLEN ST,577300
009 025 510,38 BARNES AVE,777600
009 025 512,32 BARNES AVE,1280700
009 025 513,30 BARNES AVE,777000
009 025 514,28 BARNES AVE,744700
009 025 515,284 SUMMER ST,668700
009 025 516,280 282 SUMMER ST,1229400
009 025 517,274 SUMMER ST,770800
009 025 518,266 SUMMER ST,823400
009 025 519,15 WINN TR,714300
009 025 520,20 WINN TR,631400
009 025 521,12 14 WINN TR,967400
009 025 522,256 SUMMER ST,755900
009 025 523,250 SUMMER ST,1128800
009 025 524,11 OAK TR,1413000
009 025 525,19 OAK TR,626400
009 025 526,22 OAK TR,607500
009 025 527,16 18 OAK TR,1060900
009 025 528,12 OAK TR,1080100
009 025 529,240 SUMMER ST,1029200
009 025 530,101 GLENWOOD ST,1016000
009 025 531,107 GLENWOOD ST,882200
009 025 532,111 GLENWOOD ST,942000
009 025 533,103 GLENWOOD ST,604200
009 025 534,BARNES AVE,356800
009 025 535,BARNES AVE,44100
009 025 536,GLEN ST,267400
009 052 201,235 SUMMER ST,1258600
009 052 202,2 RIDGEWOOD RD,966500
009 052 203,2 HIGHLAND TR,1039500
009 052 204,81 GLENWOOD ST,664000
009 052 205,77 79 GLENWOOD ST,1009600
009 054 401,243 SUMMER ST,1193500
009 054 402,249 SUMMER ST,902500
009 054 403,44 GREYSTONE RD,585100
009 054 404A,38 GREYSTONE RD,648200
009 054 404B,LAS CASAS ST,33700
009 054 405,34 GREYSTONE RD,813500
009 054 406,28 28A GREYSTONE RD,1404000
009 054 407,30 LAS CASAS ST,686800
009 054 409,22 LAS CASAS ST,652000
009 054 410,5 RIDGEWOOD RD,1201800
009 056 601,257 SUMMER ST,766600
009 056 602,275 SUMMER ST,842700
009 056 603,285 SUMMER ST,851000
009 056 605,289 SUMMER ST,883800
009 056 607,289 REAR SUMMER ST,39900
009 056 608,297 SUMMER ST,1108800
009 056 609,72 LAS CASAS ST,893100
009 056 610,68 LAS CASAS ST,764900
009 056 611,62 LAS CASAS ST,718900
009 056 612,54 LAS CASAS ST,959500
009 056 613,21 GREYSTONE RD,964100
009 056 614,25 GREYSTONE RD,1087300
009 056 615 1,31 GREYSTONE RD 1,388600
009 056 615 2,31 GREYSTONE RD 2,373400
009 056 615 3,31 GREYSTONE RD 3,401700
009 056 615 4,31 GREYSTONE RD 4,386500
009 056 615 5,31 GREYSTONE RD 5,382900
009 056 615 6,31 GREYSTONE RD 6,384500
009 056 616,43 GREYSTONE RD,909300
009 056 617,GREYSTONE RD,100
009 056 618,76 LAS CASAS ST,692700
009 056 619,37 GREYSTONE RD,777600
009 058 801,77 LAS CASAS ST,937700
009 058 802,311 SUMMER ST,666300
009 058 803,16 SUMMER AVE,742200
009 058 804,10 SUMMER AVE,641000
009 058 805,4 SUMMER AVE,1064100
009 058 806,65 LAS CASAS ST,883500
009 058 807,69 LAS CASAS ST,961000
009 058 808,73 LAS CASAS ST,747200
010 053 301,1 HIGHLAND TR,920700
010 053 302,16 LAS CASAS ST,1167700
010 053 303,88 BELTRAN ST,887900
010 053 304,82 BELTRAN ST,929800
010 053 305,57 GLENWOOD ST,927100
010 055 501,25 LAS CASAS ST,665700
010 055 502,106 BELTRAN ST,1097700
010 055 503,37 LAS CASAS ST,661100
010 055 504,116 BELTRAN ST,1057300
010 055 505,110 BELTRAN ST,631000
010 055 506 1,98 BELTRAN ST 1,536100
010 055 506 2,98 BELTRAN ST 2,447900
010 070 001,55 WYOMING AVE,711700
010 070 002,57 WYOMING AVE,831600
010 070 003,59 61 WYOMING AVE,825800
010 070 004,16 WYOMING PL,579600
010 070 005,12 WYOMING PL,649300
010 070 006,6 WYOMING PL,829300
010 070 007,4 WYOMING PL,621000
010 070 008,73 75 WYOMING AVE,976600
010 070 009,15 ROBERT TR,752300
010 070 010A,16 ROBERT TR,651200
010 070 011,12 ROBERT TR,589400
010 070 012,79 WYOMING AVE,730700
010 070 013,83 WYOMING AVE,700200
010 070 014,87 WYOMING AVE,618700
010 070 015,1 PEARSON TR,659500
010 070 017,290 WASHINGTON ST,655000
010 070 018,286 WASHINGTON ST,804900
010 070 019,284 WASHINGTON ST,764100
010 070 020,1 OAK GROVE CT,615800
010 070 021,2 OAK GROVE CT,560600
010 070 023,280 WASHINGTON ST,973800
010 070 024,272 274 WASHINGTON ST,773400
010 070 025,WASHINGTON ST,300
010 070 026,WASHINGTON ST,300
010 070 027,264 266 WASHINGTON ST,794000
010 070 028,260 WASHINGTON ST,4588500
010 070 029,6 GROVE ST,610100
010 070 030,10 GROVE ST,861900
010 070 031,14 16 GROVE ST,1706300
010 071 101,131 BELTRAN ST,760400
